parameter1,parameter2,parameter3,parameter4,output
305,705,972,679,2661
82,975,173,871,2101
596,575,190,638,1999
419,481,643,461,2004
472,76,902,915,2365
110,689,380,708,1887
159,845,185,158,1347
659,133,575,923,2290
295,389,155,585,1424
587,240,911,897,2635
279,72,809,5,1165
604,139,110,55,908
335,57,95,863,1350
361,3,869,368,1601
14,577,104,269,964
295,529,530,884,2238
72,105,764,409,1350
667,852,880,455,2854
970,907,273,562,2712
528,937,264,10,1739
239,163,177,677,1256
50,618,528,451,1647
318,492,294,484,1588
475,77,760,584,1896
716,241,602,512,2071
628,360,557,991,2536
369,777,651,361,2158
624,128,394,290,1436
376,987,261,367,1991
246,882,220,759,2107
240,342,686,150,1418
343,266,183,215,1007
275,418,507,525,1725
291,664,235,739,1929
628,282,483,243,1636
495,183,810,536,2024
918,50,606,252,1826
124,14,521,948,1607
188,656,735,165,1744
878,300,409,333,1920
473,679,687,127,1966
432,753,554,487,2226
167,234,634,790,1825
906,552,518,330,2306
248,244,588,634,1714
147,230,812,166,1355
126,358,889,396,1769
511,386,458,451,1806
324,670,195,365,1554
967,102,970,742,2781
475,843,605,766,2689
820,524,987,758,3089
677,150,798,831,2456
41,442,867,312,1662
896,972,400,936,3204
855,205,316,799,2175
252,674,826,713,2465
793,337,873,160,2163
384,806,621,780,2591
777,398,723,792,2690
400,625,955,544,2524
752,24,718,437,1931
965,635,24,98,1722
754,420,859,671,2704
467,181,986,417,2051
187,235,29,253,704
848,907,573,800,3128
649,436,34,804,1923
850,751,224,362,2187
825,438,522,88,1873
879,829,128,116,1952
814,649,96,772,2331
368,17,593,401,1379
303,37,147,294,781
992,604,187,499,2282
997,309,346,633,2285
973,884,520,552,2929
217,39,443,418,1117
882,913,178,542,2515
214,636,227,771,1848
808,244,381,616,2049
307,920,563,149,1939
169,691,708,673,2241
513,587,955,762,2817
219,503,831,977,2530
62,854,196,395,1507
651,362,393,995,2401
946,669,549,116,2280
10,322,978,425,1735
344,994,985,467,2790
698,263,955,592,2508
195,698,469,604,1966
530,27,256,915,1728
340,102,924,845,2211
87,148,301,723,1259
173,858,460,388,1879
363,43,962,553,1921
797,814,653,930,3194
606,648,43,388,1685
826,710,128,528,2192
393,459,379,52,1283
37,645,531,884,2097
775,431,452,675,2333
381,996,39,945,2361
824,851,239,852,2766
199,804,350,711,2064
365,327,46,93,831
436,834,641,281,2192
767,745,267,223,2002
482,292,994,967,2735
993,451,378,260,2082
247,350,828,668,2093
221,887,923,578,2609
584,114,130,538,1366
45,271,772,199,1287
780,983,611,146,2520
368,413,795,458,2034
762,681,232,632,2307
566,826,247,475,2114
274,928,171,228,1601
554,908,720,448,2630
156,216,82,265,719
419,613,30,535,1597
589,751,940,338,2618
794,767,250,537,2348
237,188,837,660,1922
561,92,381,476,1510
294,438,754,116,1602
51,782,37,684,1554
744,326,176,119,1365
307,637,751,297,1992
429,372,917,363,2081
295,654,262,905,2116
919,642,666,252,2479
346,956,305,207,1814
984,139,51,443,1617
232,629,984,609,2454
210,644,378,337,1569
329,131,36,621,1117
494,658,739,737,2628
543,147,871,172,1733
343,514,606,252,1715
919,675,506,688,2788
263,520,226,181,1190
246,289,733,136,1404
996,152,857,73,2078
541,762,316,443,2062
215,780,118,184,1297
243,893,886,230,2252
196,910,462,905,2473
761,659,589,0,2009
999,650,849,921,3419
629,509,73,894,2105
676,441,430,838,2385
568,53,322,739,1682
388,719,968,799,2874
126,791,749,837,2503
474,310,224,129,1137
9,133,494,443,1079
569,156,487,921,2133
380,32,594,337,1343
839,271,787,67,1964
296,853,415,838,2402
709,41,462,245,1457
621,227,565,697,2110
103,966,694,468,2231
341,636,295,163,1435
80,94,694,828,1696
57,748,803,769,2377
890,955,331,166,2342
990,857,351,27,2225
310,931,416,492,2149
401,180,250,61,892
52,399,736,485,1672
13,561,771,558,1903
360,240,613,805,2018
837,865,331,297,2330
433,496,526,928,2383
395,784,404,306,1889
911,462,354,171,1898
713,579,14,3,1309
410,540,656,286,1892
435,380,355,756,1926
764,251,867,427,2309
976,468,919,528,2891
338,563,631,704,2236
856,734,742,90,2422
202,579,672,884,2337
617,636,143,604,2000
336,813,806,741,2696
161,49,63,545,818
127,134,458,414,1133
869,538,170,124,1701
197,669,355,703,1924
992,657,727,953,3329
339,372,433,926,2070
206,459,353,489,1507
902,912,536,523,2873
740,73,643,767,2223
912,802,506,84,2304
882,248,803,398,2331
602,847,716,790,2955
454,784,800,520,2558
19,491,141,90,741
658,968,255,701,2582
975,460,445,715,2595
883,798,93,847,2621
193,94,495,124,906
199,388,644,982,2213
230,100,440,609,1379
456,563,673,455,2147
154,582,543,341,1620
540,786,210,723,2259
902,88,78,342,1410
434,899,411,118,1862
483,840,479,446,2248
816,328,738,723,2605
665,934,759,676,3034
854,402,525,248,2029
937,71,917,838,2763
768,212,445,98,1523
70,669,611,635,1985
978,375,7,230,1590
868,224,16,637,1745
583,716,818,830,2947
517,862,170,129,1678
170,581,735,325,1811
327,180,780,845,2132
149,977,953,684,2763
960,489,408,372,2229
140,221,267,229,857
63,613,839,930,2445
545,607,206,764,2122
27,994,387,872,2280
205,487,624,683,1999
323,666,625,836,2450
182,764,838,52,1836
984,469,229,992,2674
465,167,621,665,1918
613,427,271,890,2201
399,339,206,172,1116
341,464,316,38,1159
424,822,471,189,1906
314,680,734,719,2447
325,166,72,594,1157
11,798,834,762,2405
930,680,367,700,2677
717,197,877,599,2390
539,573,713,969,2794
790,153,430,920,2293
2,848,194,937,1981
303,821,476,469,2069
51,816,21,851,1739
237,921,576,373,2107
207,451,337,434,1429
28,577,510,848,1963
973,112,225,879,2189
510,318,529,811,2168
770,67,832,944,2613
267,648,483,249,1647
119,911,31,63,1124
720,650,383,609,2362
366,608,577,620,2171
411,762,171,727,2071
396,910,704,593,2603
895,698,267,638,2498
51,742,992,881,2666
851,207,212,341,1611
651,120,70,425,1266
278,117,169,993,1557
241,449,266,921,1877
120,371,330,491,1312
220,983,828,801,2832
746,517,379,494,2136
415,536,608,958,2517
17,83,639,905,1644
123,966,195,583,1867
370,859,276,405,1910
684,902,943,111,2640
606,851,540,256,2253
74,661,533,764,2032
309,116,250,297,972
663,588,981,301,2533
605,196,539,724,2064
443,408,330,119,1300
496,637,108,119,1360
913,747,137,350,2147
870,560,559,186,2175
831,454,318,101,1704
137,17,37,107,298
94,956,431,824,2305
882,868,174,33,1957
282,102,478,609,1471
106,568,530,318,1522
745,412,877,914,2948
417,317,443,513,1690
139,511,500,493,1643
593,178,291,815,1877
756,712,987,469,2924
421,690,919,546,2576
155,367,768,807,2097
763,563,372,171,1869
988,203,168,558,1917
165,449,398,739,1751
376,688,769,768,2601
750,28,161,992,1931
574,935,727,295,2531
772,946,64,55,1837
285,464,380,797,1926
755,200,460,743,2158
916,268,534,172,1890
330,733,168,326,1557
91,787,702,917,2497
904,959,731,753,3347
517,725,133,202,1577
562,215,420,575,1772
390,537,121,408,1456
113,217,367,124,821
774,359,251,756,2140
492,499,562,782,2335
859,788,239,834,2720
880,272,901,621,2674
918,143,425,112,1598
586,278,66,655,1585
456,380,324,620,1780
3,851,309,692,1855
182,487,18,28,715
977,710,621,706,3014
234,118,816,586,1754
154,168,486,886,1694
369,905,437,324,2035
315,736,305,831,2187
700,351,63,949,2063
795,192,8,131,1126
586,248,477,530,1841
292,610,143,952,1997
965,658,952,285,2860
253,810,504,32,1599
790,346,23,183,1342
278,72,819,501,1670
733,619,541,0,1893
629,248,790,56,1723
826,456,385,387,2054
422,645,564,755,2386
318,870,374,818,2380
292,351,402,841,1886
290,473,643,241,1647
321,877,678,716,2592
767,878,832,108,2585
970,234,660,601,2465
700,626,489,278,2093
392,686,753,344,2175
582,125,509,37,1253
621,949,947,456,2973
807,309,625,259,2000
579,654,426,821,2480
419,392,241,191,1243
751,920,40,966,2677
141,347,249,486,1223
962,429,18,530,1939
454,833,393,5,1685
659,889,561,472,2581
754,51,462,14,1281
2,524,33,40,599
710,807,398,170,2085
979,187,196,84,1446
58,572,93,128,851
198,150,51,314,713
917,707,614,831,3069
761,361,646,410,2178
944,733,608,970,3255
314,440,824,357,1935
556,357,92,121,1126
230,496,135,439,1300
395,784,854,346,2379
555,903,29,428,1915
592,179,146,771,1688
890,399,313,17,1619
353,289,901,275,1818
448,789,40,89,1366
155,546,805,661,2167
832,508,501,339,2180
94,158,398,520,1170
547,655,289,649,2140
583,114,365,76,1138
254,105,677,800,1836
990,525,557,704,2776
968,752,550,931,3201
117,14,839,610,1580
60,20,650,559,1289
560,406,705,475,2146
941,147,401,280,1769
446,972,257,226,1901
305,109,632,307,1353
793,270,100,832,1995
66,15,912,33,1026
288,188,793,915,2184
992,393,812,372,2569
460,835,947,152,2394
889,675,467,503,2534
352,542,960,386,2240
145,879,585,28,1637
661,484,230,424,1799
716,154,834,759,2463
907,647,235,322,2111
172,28,827,874,1901
475,692,953,361,2481
406,305,570,202,1483
483,833,574,465,2355
390,398,455,498,1741
772,500,859,71,2202
229,929,99,304,1561
851,735,741,35,2362
789,171,955,842,2757
409,741,580,653,2383
335,916,520,760,2531
916,648,462,836,2862
911,466,691,279,2347
52,551,796,120,1519
940,789,634,580,2943
92,303,799,104,1298
705,280,13,194,1192
603,142,373,627,1745
117,282,548,454,1401
3,424,943,104,1474
636,250,836,148,1870
129,572,116,340,1157
620,848,639,992,3099
773,62,828,716,2379
523,168,7,687,1385
962,473,471,987,2893
314,861,302,626,2103
941,696,959,186,2782
754,418,442,705,2319
852,989,955,705,3501
882,435,846,653,2816
900,358,713,320,2291
759,506,132,22,1419
752,21,519,714,2006
46,67,772,691,1576
693,31,96,510,1330
502,348,398,590,1838
499,730,50,459,1738
305,691,790,658,2444
693,782,272,772,2519
198,581,602,612,1993
79,758,199,862,1898
922,580,190,840,2532
695,793,855,539,2882
271,62,187,554,1074
354,720,624,161,1859
686,843,26,826,2381
226,167,941,634,1968
439,763,79,976,2257
363,961,527,587,2438
954,996,400,238,2588
229,823,703,1000,2755
133,491,456,989,2069
30,661,622,979,2292
134,414,476,690,1714
654,610,696,322,2282
795,601,7,284,1687
459,883,136,374,1852
187,656,375,408,1626
298,538,802,286,1924
128,473,280,170,1051
836,803,175,495,2309
359,93,914,874,2240
476,921,157,769,2323
101,305,134,920,1460
698,419,571,182,1870
607,710,595,906,2818
627,384,668,107,1786
998,494,14,641,2147
703,690,874,660,2927
84,858,12,335,1289
397,143,964,734,2238
655,209,812,361,2037
726,20,224,687,1657
197,440,505,91,1233
538,433,958,207,2136
760,390,471,365,1986
611,480,500,181,1772
126,987,267,617,1997
793,389,183,12,1377
33,332,282,609,1256
806,579,884,379,2648
464,940,187,183,1774
468,252,6,812,1538
97,719,499,195,1510
144,24,834,249,1251
770,663,629,368,2430
295,100,606,350,1351
138,501,595,474,1708
901,372,567,890,2730
390,649,888,861,2788
930,752,779,915,3376
46,433,282,567,1328
428,185,982,616,2211
517,507,209,298,1531
206,915,491,919,2531
128,369,867,954,2318
746,55,472,753,2026
642,302,520,722,2186
685,53,416,82,1236
193,510,318,428,1449
729,243,12,77,1061
318,65,330,919,1632
632,269,9,413,1323
609,9,660,855,2133
998,113,242,904,2257
642,928,688,190,2448
528,220,274,132,1154
464,253,480,3,1200
439,850,668,495,2452
665,13,224,326,1228
814,911,484,280,2489
605,18,950,250,1823
75,715,848,582,2220
128,653,460,411,1652
749,811,494,420,2474
134,448,925,214,1721
268,377,757,703,2105
288,199,823,853,2163
173,447,144,559,1323
498,792,234,986,2510
826,44,44,715,1629
620,974,918,980,3492
705,863,619,416,2603
826,50,621,441,1938
325,510,956,882,2673
394,374,900,924,2592
56,868,73,785,1782
593,815,383,210,2001
547,207,437,134,1325
77,907,173,276,1433
28,461,598,442,1529
368,746,848,804,2766
602,528,323,952,2405
424,290,954,770,2438
849,194,942,145,2130
533,591,147,360,1631
925,332,569,796,2622
444,440,962,825,2671
754,844,73,820,2491
971,957,952,435,3315
642,116,220,840,1818
0,558,302,703,1563
134,484,814,589,2021
276,266,163,217,922
155,515,3,827,1500
620,141,939,929,2629
394,239,718,888,2239
881,257,381,80,1599
557,931,202,427,2117
954,315,278,745,2292
996,599,519,966,3080
198,87,115,610,1010
385,913,389,269,1956
621,654,386,389,2050
70,113,829,398,1410
184,16,72,88,360
276,16,612,951,1855
301,472,961,394,2128
655,226,368,509,1758
163,708,887,241,1999
845,116,183,579,1723
862,851,970,663,3346
325,351,612,377,1665
885,48,614,576,2123
862,632,125,99,1718
263,716,185,747,1911
0,233,864,754,1851
575,838,376,524,2313
176,275,360,687,1498
925,211,246,537,1919
355,207,558,932,2052
177,584,790,281,1832
755,927,492,433,2607
199,996,182,899,2276
95,392,73,849,1409
712,971,343,814,2840
392,539,405,30,1366
800,332,433,919,2484
920,886,299,359,2464
967,343,334,600,2244
74,474,297,521,1366
952,429,419,802,2602
444,189,97,579,1309
252,789,357,805,2203
67,170,920,824,1981
706,810,186,382,2084
25,558,583,978,2144
330,375,455,418,1578
781,661,582,988,3012
686,258,855,931,2730
454,94,817,423,1788
100,351,144,279,874
352,693,552,62,1659
565,838,892,222,2517
592,74,885,495,2046
625,66,343,213,1247
568,653,358,542,2121
377,229,530,999,2135
915,712,700,61,2388
191,426,734,252,1603
68,145,451,996,1660
315,843,944,557,2659
480,60,294,551,1385
132,528,287,651,1598
591,647,333,784,2355
344,273,50,539,1206
514,806,598,778,2696
988,775,720,466,2949
72,175,783,25,1055
715,177,682,196,1770
202,918,213,213,1546
392,309,82,234,1017
825,542,850,559,2776
543,291,824,491,2149
919,59,606,350,1934
186,515,770,444,1915
395,809,285,177,1666
471,180,29,616,1296
50,170,760,840,1820
786,728,244,13,1771
719,540,844,667,2770
484,142,723,619,1968
63,715,726,224,1728
899,69,134,718,1820
400,794,776,838,2808
868,664,702,938,3172
956,609,677,884,3126
569,506,159,351,1585
307,474,565,103,1449
181,609,533,180,1503
655,617,238,178,1688
918,560,217,518,2213
651,399,743,9,1802
704,890,165,444,2203
856,621,839,823,3139
713,772,672,902,3059
724,744,127,444,2039
899,567,370,147,1983
602,866,493,206,2167
919,355,992,569,2835
873,455,654,606,2588
599,898,660,800,2957
17,763,805,362,1947
463,765,357,796,2381
65,900,822,18,1805
817,578,725,801,2921
936,529,851,319,2635
715,328,760,659,2462
841,470,356,618,2285
737,86,418,701,1942
252,575,818,694,2339
363,769,868,285,2285
834,9,498,972,2313
622,451,688,873,2634
446,729,991,214,2380
714,369,403,262,1748
340,470,94,786,1690
550,613,887,74,2124
28,765,142,23,958
204,777,651,79,1711
486,83,689,2,1260
61,482,467,432,1442
302,908,943,545,2698
169,522,406,958,2055
836,744,585,437,2602
125,650,161,560,1496
283,78,408,267,1036
996,636,107,205,1944
969,389,5,905,2268
690,829,36,637,2192
892,947,632,662,3133
195,541,490,200,1426
618,502,599,644,2363
341,308,825,714,2188
534,262,777,189,1762
165,423,525,126,1239
433,639,915,865,2852
544,320,956,734,2554
535,550,628,878,2591
7,142,609,368,1126
622,646,634,300,2202
811,368,436,925,2540
214,359,935,539,2047
459,241,795,463,1958
327,1000,342,682,2351
849,777,950,167,2743
325,799,761,178,2063
535,658,656,983,2832
336,533,384,938,2191
793,641,978,92,2504
567,942,379,134,2022
8,116,581,347,1052
481,897,71,681,2130
165,930,773,152,2020
313,122,615,721,1771
36,972,633,965,2606
638,851,111,992,2592
67,49,202,626,944
464,100,873,917,2354
44,148,129,127,448
851,293,456,447,2047
604,425,559,223,1811
754,296,446,800,2296
264,279,35,85,663
999,299,473,889,2660
757,62,201,761,1781
840,5,736,809,2390
730,367,907,738,2742
587,720,685,686,2678
161,770,794,169,1894
763,213,85,485,1546
843,46,841,921,2651
121,619,860,741,2341
450,89,731,246,1516
292,943,300,297,1832
360,655,532,931,2478
429,525,320,254,1528
136,920,674,112,1842
810,588,55,667,2120
786,133,146,204,1269
85,220,44,384,733
687,185,988,807,2667
103,839,408,715,2065
251,954,198,661,2064
351,652,895,533,2431
200,339,499,895,1933
591,490,859,907,2847
770,134,39,246,1189
310,11,954,380,1655
338,560,33,394,1325
18,639,335,463,1455
926,208,782,835,2751
849,860,233,553,2495
825,34,658,544,2061
811,23,202,200,1236
119,66,265,501,951
942,772,364,402,2480
252,651,289,362,1554
977,750,745,49,2521
805,559,121,230,1715
317,372,701,812,2202
317,91,229,419,1056
679,414,689,715,2497
933,835,214,567,2549
496,676,767,478,2417
161,77,926,752,1916
45,540,947,228,1760
226,881,864,587,2558
335,54,111,445,945
801,413,602,628,2444
480,600,627,223,1930
204,424,370,432,1430
522,527,586,922,2557
323,330,530,451,1634
310,996,102,862,2270
201,633,822,789,2445
202,952,400,96,1650
980,982,829,60,2851
53,702,255,32,1042
428,637,485,724,2274
547,519,303,56,1425
574,809,516,864,2763
908,210,522,422,2062
952,457,499,229,2137
432,447,4,375,1258
976,615,537,969,3097
928,703,329,537,2497
621,495,103,741,1960
821,414,193,110,1538
788,276,938,232,2234
397,970,988,690,3045
298,867,225,814,2204
645,126,992,321,2084
580,250,423,814,2067
660,950,123,340,2073
981,662,285,45,1973
884,261,505,353,2003
158,249,550,96,1053
293,162,103,208,766
768,471,164,566,1969
551,829,894,96,2370
878,269,671,477,2295
566,201,948,830,2545
388,967,8,570,1933
924,922,446,987,3279
893,307,857,951,3008
343,189,38,272,842
938,6,527,45,1516
813,571,117,899,2400
743,614,297,687,2341
175,447,864,834,2320
693,610,966,751,3020
562,479,975,816,2832
270,221,718,915,2124
322,56,304,393,1075
324,402,157,944,1827
786,875,731,69,2461
589,520,832,558,2499
115,841,751,138,1845
755,859,319,395,2328
895,137,733,475,2240
853,11,536,229,1629
794,216,293,606,1909
674,353,662,238,1927
863,114,264,793,2034
446,429,96,210,1181
389,405,405,473,1672
658,769,197,429,2053
69,812,952,242,2075
135,114,302,9,560
75,272,467,370,1184
859,539,191,880,2469
942,463,168,371,1944
412,850,960,53,2275
526,228,294,992,2040
261,183,304,523,1271
528,790,342,269,1929
540,295,754,762,2351
802,490,267,91,1650
387,198,892,81,1558
694,729,425,65,1913
215,860,804,631,2510
668,422,377,459,1926
830,634,518,808,2790
134,793,779,500,2206
876,751,49,88,1764
748,712,617,843,2920
837,173,198,287,1495
380,867,22,178,1447
762,731,437,256,2186
513,340,342,150,1345
491,63,400,903,1857
152,704,351,566,1773
113,293,779,230,1415
761,582,582,532,2457
339,126,951,961,2377
612,119,212,379,1322
681,298,879,549,2407
323,696,676,166,1861
374,846,292,829,2341
367,906,263,933,2469
23,891,612,681,2207
763,965,189,24,1941
538,524,764,697,2523
795,996,560,411,2762
594,417,824,517,2352
970,668,82,318,2038
296,455,970,654,2375
689,585,499,555,2328
243,313,68,886,1510
717,291,359,473,1840
85,293,740,130,1248
192,991,998,462,2643
103,639,271,808,1821
552,606,357,637,2152
203,55,306,450,1014
676,927,55,344,2002
287,582,708,546,2123
143,86,638,648,1515
961,343,506,30,1840
422,694,49,585,1750
51,801,540,20,1412
180,180,368,194,922
867,376,16,373,1632
927,307,541,479,2254
438,627,394,89,1548
673,405,413,706,2197
100,715,988,328,2131
355,372,576,885,2188
272,562,199,992,2025
784,637,277,653,2351
350,894,490,885,2619
391,64,840,535,1830
176,965,521,577,2239
708,442,441,583,2174
562,586,36,971,2155
737,487,981,541,2746
790,99,449,380,1718
587,72,510,802,1971
344,150,175,406,1075
176,666,196,792,1830
33,95,981,393,1502
836,556,708,670,2770
353,906,449,622,2330
47,209,943,741,1940
359,921,819,621,2720
361,551,114,168,1194
458,778,695,911,2842
334,888,742,659,2623
19,106,996,8,1129
399,642,218,919,2178
835,463,910,661,2869
379,524,189,805,1897
687,850,432,563,2532
292,968,174,779,2213
769,345,592,688,2394
48,324,956,149,1477
116,308,154,671,1249
766,28,374,723,1891
610,158,487,333,1588
752,121,795,153,1821
452,844,530,753,2579
444,772,908,914,3038
525,873,378,325,2101
152,84,56,987,1279
88,317,39,163,607
65,681,50,973,1769
189,713,380,130,1412
301,583,759,899,2542
502,226,329,413,1470
99,900,676,432,2107
821,422,971,236,2450
512,949,597,552,2610
543,687,628,729,2587
166,624,262,458,1510
388,788,489,609,2274
387,686,245,482,1800
908,298,829,5,2040
181,86,511,136,914
183,599,310,535,1627
35,110,326,362,833
94,838,534,996,2462
310,298,562,920,2090
954,59,567,778,2358
443,832,436,971,2682
80,853,571,936,2440
374,578,315,436,1703
569,250,714,238,1771
951,491,529,993,2964
433,511,972,900,2816
385,209,783,476,1853
838,186,800,495,2319
438,176,481,137,1232
43,792,68,462,1365
881,450,95,682,2108
927,471,624,719,2741
14,557,822,817,2210
120,132,766,979,1997
932,552,245,161,1890
188,898,759,3,1848
703,314,806,786,2609
473,684,300,281,1738
236,800,994,62,2092
895,615,326,723,2559
4,37,658,326,1025
370,157,936,478,1941
87,768,276,624,1755
392,433,368,811,2004
452,128,407,189,1176
870,538,21,176,1605
79,886,605,340,1910
738,548,814,678,2778
853,913,246,297,2309
138,458,19,436,1051
21,665,259,330,1275
811,25,121,182,1139
674,588,392,804,2458
300,76,970,99,1445
354,807,939,310,2410
125,762,56,175,1118
492,546,674,306,2018
118,511,658,809,2096
186,101,374,110,771
250,608,867,664,2389
733,35,180,404,1352
2,334,771,821,1928
169,996,471,712,2348
142,520,642,491,1795
880,947,259,918,3004
310,938,205,138,1591
598,592,997,250,2437
275,358,565,961,2159
486,740,301,767,2294
984,909,456,554,2903
548,640,455,282,1925
899,210,670,857,2636
820,684,477,311,2292
397,893,718,95,2103
846,867,829,889,3431
966,18,910,571,2465
108,987,173,552,1820
735,856,849,912,3352
357,43,57,490,947
208,964,802,670,2644
482,48,628,881,2039
655,155,225,657,1692
33,427,44,887,1391
501,900,440,559,2400
344,664,473,737,2218
384,825,484,169,1862
245,415,465,429,1554
696,37,139,499,1371
678,959,882,999,3518
283,802,596,184,1865
503,268,778,506,2055
90,337,238,735,1400
16,602,646,37,1301
189,942,339,330,1800
779,197,913,765,2654
925,451,319,797,2492
441,256,699,420,1816
851,828,813,601,3093
676,517,683,447,2323
203,273,750,100,1326
687,881,752,128,2448
27,642,866,459,1994
810,756,624,678,2868
201,113,702,755,1771
497,473,833,227,2030
662,932,446,653,2693
617,325,152,997,2091
783,256,266,50,1355
245,825,348,106,1524
727,366,105,456,1654
858,789,833,618,3098
943,847,384,773,2947
701,50,954,514,2219
912,823,216,324,2275
4,531,996,373,1904
752,683,361,485,2281
408,140,834,610,1992
630,669,578,254,2131
682,365,557,341,1945
126,798,643,535,2102
401,598,336,571,1906
852,65,879,435,2231
718,887,963,617,3185
607,133,711,30,1481
199,819,455,246,1719
176,595,234,725,1730
20,804,892,76,1792
561,281,277,331,1450
152,698,102,34,986
173,463,492,369,1497
372,36,152,491,1051
972,160,386,954,2472
211,306,635,529,1681
68,725,285,537,1615
274,345,809,3,1431
276,973,764,341,2354
993,185,298,940,2416
165,233,721,425,1544
752,851,550,629,2782
581,926,592,548,2647
487,58,374,452,1371
769,8,606,557,1940
306,60,142,360,868
967,21,551,687,2226
938,826,504,254,2522
2,111,197,457,767
236,930,537,110,1813
7,104,940,943,1994
988,389,337,392,2106
364,732,76,289,1461
9,411,741,106,1267
46,631,393,177,1247
875,791,216,512,2394
861,760,882,454,2957
627,899,670,585,2781
519,246,57,214,1036
118,79,761,828,1786
917,193,323,43,1476
298,933,401,303,1935
224,410,30,591,1255
835,796,415,651,2697
696,900,436,492,2524
754,12,2,953,1721
796,638,102,7,1543
911,737,209,177,2034
528,989,803,348,2668
829,108,369,987,2293
286,796,578,341,2001
566,523,448,57,1594
885,999,570,255,2709
951,603,868,79,2501
865,622,614,241,2342
875,322,356,10,1563
615,192,206,204,1217
214,359,292,338,1203
81,400,420,341,1242
958,307,303,131,1699
201,228,615,835,1879
177,237,987,767,2168
720,191,174,462,1547
818,524,743,211,2296
238,0,563,84,885
788,485,59,979,2311
343,279,939,346,1907
599,630,864,991,3084
251,286,515,765,1817
541,401,454,749,2145
323,339,53,649,1364
95,403,652,54,1204
587,415,471,344,1817
582,574,594,945,2695
163,544,620,529,1856
164,797,995,535,2491
677,359,27,445,1508
5,586,914,60,1565
663,835,390,343,2231
823,397,235,639,2094
930,560,123,672,2285
952,629,514,859,2954
792,983,15,207,1997
195,972,582,175,1924
459,407,456,149,1471
52,250,407,769,1478
182,129,191,358,860
985,716,368,64,2133
950,147,571,622,2290
987,336,581,200,2104
966,888,744,799,3397
247,969,548,41,1805
468,281,834,893,2476
615,167,107,369,1258
399,288,80,732,1499
628,784,436,134,1982
759,556,506,483,2304
127,591,737,210,1665
764,863,380,402,2409
679,631,518,625,2453
212,292,725,366,1595
372,887,97,940,2296
919,703,714,417,2753
167,916,655,138,1876
128,681,239,727,1775
408,587,356,121,1472
896,378,912,829,3015
518,454,32,449,1453
279,824,122,650,1875
951,94,478,596,2119
645,360,189,918,2112
447,466,791,367,2071
470,239,938,524,2171
435,265,267,290,1257
956,481,56,6,1499
644,223,119,211,1197
315,788,819,994,2916
704,358,443,87,1592
964,427,758,514,2663
768,889,678,51,2386
273,231,716,565,1785
144,108,847,105,1204
494,287,982,319,2082
165,479,492,807,1943
986,374,789,436,2585
90,185,330,625,1230
433,445,218,379,1475
431,412,333,729,1905
59,145,303,828,1335
236,878,272,681,2067
762,789,578,641,2770
634,809,497,367,2307
556,626,325,601,2108
943,572,6,740,2261
617,169,927,366,2079
327,372,413,964,2076
806,756,782,587,2931
624,185,2,250,1061
36,433,805,998,2272
467,987,515,816,2785
573,644,307,348,1872
609,254,826,724,2413
144,273,210,223,850
128,385,44,110,667
440,351,830,640,2261
893,373,93,288,1647
771,285,707,797,2560
133,565,660,678,2036
863,964,940,354,3121
956,561,253,869,2639
62,39,64,411,576
887,810,273,27,1997
732,632,502,3,1869
874,142,437,894,2347
276,410,500,724,1910
651,530,632,372,2185
241,794,498,846,2379
743,137,147,884,1911
440,60,691,729,1920
218,250,810,284,1562
599,555,21,871,2046
431,398,538,142,1509
525,461,272,875,2133
97,34,466,298,895
47,69,941,716,1773
710,657,908,975,3250
912,53,586,39,1590
802,939,446,865,3052
550,623,986,268,2427
1,804,601,982,2388
200,479,423,478,1580
268,224,579,413,1484
82,671,830,685,2268
948,262,280,994,2484
679,941,144,604,2368
993,471,40,530,2034
749,883,17,366,2015
741,718,847,154,2460
754,75,580,56,1465
126,287,986,206,1605
968,632,221,829,2650
350,512,874,880,2616
175,53,807,3,1038
412,681,805,111,2009
508,154,367,967,1996
916,523,633,60,2132
220,496,490,791,1997
269,651,156,546,1622
856,917,445,35,2253
366,891,571,257,2085
272,954,157,807,2190
504,343,363,660,1870
64,641,476,896,2077
68,202,392,382,1044
588,867,927,802,3184
75,451,293,299,1118
304,32,4,177,517
603,948,118,219,1888
598,218,33,260,1109
938,770,923,379,3010
103,633,566,482,1784
741,835,509,636,2721
311,21,359,164,855
780,140,630,445,1995
102,606,10,804,1522
466,785,615,34,1900
329,581,849,199,1958
877,224,709,744,2554
787,336,556,697,2376
480,145,284,791,1700
232,390,870,76,1568
546,395,116,703,1760
922,192,950,258,2322
128,581,598,999,2306
319,400,640,816,2175
571,983,233,445,2232
580,543,933,658,2714
108,854,112,342,1416
207,218,24,246,695
165,965,270,435,1835
521,520,399,595,2035
659,273,153,563,1648
76,990,687,352,2105
847,317,99,786,2049
982,818,32,903,2735
418,133,158,7,716
139,466,747,744,2096
494,680,915,210,2299
777,949,588,25,2339
889,392,664,122,2067
25,413,397,183,1018
21,29,315,975,1340
695,611,426,64,1796
924,756,835,992,3507
166,389,626,481,1662
381,692,508,747,2328
332,788,702,33,1855
761,630,173,108,1672
87,518,712,180,1497
169,84,328,391,972
231,205,994,772,2202
873,118,960,723,2674
815,473,89,701,2078
221,814,154,468,1657
619,381,152,495,1647
439,500,294,593,1826
411,490,677,859,2437
788,905,765,626,3084
